iter	Passed	Remaining
403	9823	14492
404	9844	14463
405	9868	14438
406	9890	14409
407	9911	14381
408	9934	14355
409	9958	14330
410	9981	14304
411	10006	14280
412	10031	14258
413	10057	14235
414	10083	14213
415	10108	14191
416	10134	14168
417	10159	14145
418	10183	14121
419	10206	14094
420	10229	14067
421	10252	14042
422	10277	14018
423	10301	13993
424	10326	13971
425	10351	13947
426	10377	13925
427	10406	13907
428	10433	13887
429	10460	13866
430	10487	13845
431	10513	13823
432	10540	13801
433	10563	13776
434	10584	13748
435	10607	13721
436	10631	13696
437	10652	13668
438	10679	13647
439	10702	13621
440	10725	13595
441	10749	13570
442	10773	13545
443	10794	13517
444	10818	13492
445	10839	13463
446	10863	13439
447	10887	13414
448	10910	13388
449	10932	13362
450	10955	13335
451	10979	13311
452	11002	13286
453	11024	13258
454	11047	13232
455	11069	13205
456	11092	13179
457	11115	13154
458	11139	13129
459	11163	13104
460	11188	13081
461	11213	13057
462	11238	13035
463	11264	13012
464	11289	12988
465	11316	12968
466	11339	12942
467	11364	12918
468	11388	12893
469	11411	12868
470	11434	12842
471	11456	12815
472	11479	12790
473	11504	12766
474	11529	12743
475	11555	12720
476	11586	12703
477	11605	12673
478	11624	12643
479	11644	12615
480	11668	12589
481	11691	12564
482	11715	12539
483	11736	12512
484	11760	12488
485	11795	12475
486	11824	12456
487	11849	12432
488	11873	12407
489	11895	12381
490	11918	12355
491	11940	12328
492	11963	12303
493	11987	12279
494	12010	12252
495	12032	12226
496	12055	12201
497	12079	12176
498	12102	12150
499	12125	12125
500	12146	12098
501	12170	12073
502	12192	12046
503	12214	12020
504	12240	11997
505	12263	11972
506	12286	11946
507	12308	11920
508	12332	11896
509	12356	11871
510	12381	11848
511	12406	11825
512	12439	11809
513	12475	11795
514	12507	11779
515	12531	11754
516	12555	11729
517	12580	11706
518	12604	11681
519	12628	11656
520	12651	11631
521	12673	11605
522	12698	11581
523	12720	11555
524	12740	11527
525	12762	11500
526	12784	11474
527	12806	11447
528	12826	11420
529	12848	11393
530	12870	11367
531	12892	11341
532	12916	11317
533	12939	11291
534	12961	11265
535	12984	11240
536	13008	11215
537	13031	11190
538	13054	11165
539	13079	11141
540	13103	11117
541	13128	11094
542	13151	11068
543	13173	11042
544	13197	11018
545	13220	10992
546	13242	10966
547	13263	10940
548	13284	10913
549	13307	10887
550	13329	10862
551	13353	10837
552	13375	10811
553	13397	10786
554	13420	10760
555	13444	10736
556	13466	10710
557	13488	10684
558	13513	10660
559	13539	10638
560	13562	10613
561	13587	10589
562	13614	10567
563	13640	10545
564	13666	10521
565	13690	10497
566	13712	10471
567	13734	10445
568	13756	10420
569	13779	10395
570	13805	10372
571	13829	10347
572	13852	10322
573	13875	10297
574	13897	10272
575	13921	10247
576	13947	10224
577	13969	10199
578	13993	10174
579	14016	10150
580	14040	10125
581	14063	10100
