iter	Logloss
184	0.3352652161
185	0.3352118073
186	0.3351795074
187	0.3351319275
188	0.3350737701
189	0.335037262
190	0.3349793579
191	0.3349297333
192	0.3349010315
193	0.334836319
194	0.3347878326
195	0.3347317871
196	0.3346668915
197	0.334609198
198	0.3345647369
199	0.3345220001
200	0.3344652985
201	0.3344145264
202	0.3343761414
203	0.334321344
204	0.3342604736
205	0.334208371
206	0.3341691193
207	0.334120108
208	0.3340807404
209	0.334030246
210	0.3339647491
211	0.3338916718
212	0.3338439911
213	0.3337961212
214	0.3337452667
215	0.3337043945
216	0.3336627869
217	0.3336159851
218	0.3335760712
219	0.3335196869
220	0.3334761505
221	0.3334231964
222	0.3333690033
223	0.3333193085
224	0.3332703033
225	0.3332097198
226	0.3331735352
227	0.3330914581
228	0.3330443359
229	0.3329740662
230	0.3329205109
231	0.3328642181
232	0.3328114441
233	0.3327499969
234	0.3326883301
235	0.3326295715
236	0.3325819733
237	0.3325342224
238	0.3324826843
239	0.332446759
240	0.3323729553
241	0.3322984406
242	0.332234079
243	0.332177124
244	0.332112973
245	0.3320540405
246	0.3319695129
247	0.3319109619
248	0.3318478546
249	0.3318045227
250	0.3317401093
251	0.331672641
252	0.3316211761
253	0.3315637238
254	0.3315083862
255	0.331452475
256	0.3313946411
257	0.3313395874
258	0.3312865662
259	0.3312380005
260	0.3311798889
261	0.3311281342
262	0.3310733154
263	0.3310063385
264	0.3309374878
265	0.3308853455
266	0.3308249817
267	0.3307712372
268	0.3307175293
269	0.3306770264
270	0.330619519
271	0.3305673584
272	0.3304776703
273	0.3304281921
274	0.3303754059
275	0.3303134247
276	0.3302535431
277	0.3301711914
278	0.3301124451
279	0.3300702271
280	0.3300126373
281	0.3299639954
282	0.3299092712
283	0.3298445587
284	0.3297791138
285	0.3297127136
286	0.3296542633
287	0.3296095947
288	0.3295562653
289	0.3294912476
290	0.3294414001
291	0.3293975647
292	0.329326416
293	0.3292840332
294	0.3292338837
295	0.3291656921
296	0.329095343
297	0.3290460754
298	0.3289911957
299	0.3289342712
300	0.3288729767
301	0.3288149017
302	0.3287573853
303	0.3287163696
304	0.328663089
305	0.3286174561
306	0.3285314941
307	0.328479599
308	0.3284417847
309	0.3283884308
310	0.3283287872
311	0.3282747284
312	0.3282156097
313	0.3281518463
314	0.328102774
315	0.3280412292
316	0.327976413
317	0.3279304687
318	0.327874469
319	0.3278240387
320	0.3277771973
321	0.3277211823
322	0.3276662903
323	0.3276085236
324	0.3275514374
325	0.3275052246
326	0.3274493744
327	0.3273931183
328	0.3273436798
329	0.3272678711
330	0.3272072662
331	0.3270928741
332	0.3270461884
333	0.3269875427
334	0.3269289917
335	0.3268678986
336	0.3268103821
337	0.3267566376
338	0.3266921326
339	0.3266457153
340	0.3265960785
341	0.3265451782
342	0.3264998322
343	0.3264014221
344	0.3263522308
345	0.3262933685
346	0.3262406769
347	0.3261816101
348	0.3261382263
349	0.3260973846
350	0.3260557007
351	0.3260159912
352	0.3259654022
353	0.3258966431
354	0.3258418518
355	0.3257828827
356	0.3257211548
357	0.3256786346
358	0.3256401611
359	0.3255973083
360	0.325543457
361	0.3254655548
362	0.3254267303
363	0.325366983
364	0.3253091217
365	0.3252636597
366	0.325216394
367	0.325162674
368	0.3251038727
369	0.3250506744
370	0.3250000092
371	0.3249507874
372	0.3248976593
373	0.3248430786
374	0.3247825653
375	0.3247266174
376	0.3246777588
377	0.3246335999
378	0.3245845062
379	0.3245155823
380	0.3244800995
381	0.3243869781
382	0.3243060089
383	0.3242508514
384	0.3241955811
385	0.324128183
386	0.3240829742
387	0.3240364136
388	0.3239866486
389	0.3239345245
390	0.3238776642
391	0.3238107788
392	0.3237699554
393	0.3237162323
394	0.3236700562
395	0.3236285797
396	0.3235686981
397	0.3235111633
398	0.3234640961
399	0.3234106506
400	0.3233733246
401	0.3233284454
402	0.3232668213
403	0.3232260284
404	0.3231618011
405	0.3231124756
406	0.3230589478
407	0.3230163574
408	0.3229595978
409	0.3229041473
410	0.3228539154
411	0.3227940735
412	0.3227447113
413	0.3227052429
414	0.322656601
415	0.3226157013
416	0.32256828
417	0.3225176575
418	0.3224616608
419	0.3224010712
420	0.3223622681
421	0.3223069977
422	0.3222468872
423	0.3221967407
424	0.3221335175
425	0.3220724091
426	0.3220149445
427	0.3219573425
428	0.3219066833
429	0.3218238037
430	0.3217725708
431	0.3217252441
432	0.3216681549
433	0.3216082306
434	0.3215612976
435	0.3215006866
436	0.3214598907
437	0.3214201019
438	0.3213589081
439	0.3213189453
440	0.3212763977
441	0.3212223999
442	0.3211732727
443	0.3211193268
444	0.3210704956
445	0.3210217316
446	0.3209767517
447	0.3208847778
448	0.3208374451
449	0.3207571106
450	0.3207109497
451	0.3206603638
452	0.3206222443
453	0.3205838226
454	0.3205499634
455	0.3204962097
456	0.3204483856
457	0.3204061951
458	0.3203408539
459	0.3202869904
460	0.3202460449
461	0.3201973358
462	0.3201545471
463	0.3200977936
464	0.3200540527
465	0.3199829407
466	0.3199262939
467	0.319877533
468	0.3198198425
469	0.319748111
470	0.3196984406
471	0.3196651093
472	0.3196180634
473	0.31957164
474	0.3195126862
475	0.3194614532
476	0.3194094147
477	0.3193784515
478	0.319327121
479	0.319278598
480	0.3192277588
481	0.3191556946
482	0.3191049622
483	0.3190669678
484	0.3190039673
485	0.3189546722
486	0.3189061737
487	0.3188557709
488	0.3187984222
489	0.3187566528
490	0.3187078552
491	0.3186691711
492	0.3186195892
493	0.318568222
494	0.3185226562
495	0.3184551025
496	0.3184075623
497	0.3183537231
498	0.3183102142
499	0.3182583923
500	0.3182031769
501	0.3181498627
502	0.3180759705
503	0.3180248535
504	0.3179685486
505	0.3179197174
506	0.3178822845
507	0.3178344391
508	0.3177958954
509	0.3177549591
510	0.3177100464
511	0.3176590027
512	0.3176107391
513	0.3175678772
514	0.3175129517
515	0.3174763794
516	0.317428537
517	0.3173725098
518	0.3173226837
519	0.3172865692
520	0.3172230377
521	0.3171745239
522	0.3171335388
523	0.3170976837
524	0.3170403961
525	0.3169907806
526	0.3169334045
527	0.3168889954
528	0.316843335
529	0.3168031311
530	0.3167565399
531	0.3167031494
532	0.316658609
533	0.31660737
534	0.3165452148
535	0.3164926666
536	0.316445932
537	0.316397583
538	0.3163527435
539	0.3163103729
540	0.3162602112
541	0.3162142731
542	0.3161511383
543	0.3161134888
544	0.3160383728
545	0.3159850494
546	0.3159276794
547	0.3158730743
548	0.315825943
549	0.3157723358
550	0.3157330841
551	0.3156906616
552	0.3156552124
553	0.3155999664
554	0.3155566315
555	0.3154799408
556	0.3154349304
557	0.3153817108
558	0.3153214752
559	0.3152837677
560	0.3152292847
561	0.3151764557
562	0.3151291046
563	0.3150759613
564	0.3150206268
565	0.3149567413
566	0.3149090332
567	0.314868222
568	0.3148159363
569	0.3147777344
570	0.3147418854
571	0.3146630219
572	0.3146157501
573	0.3145672974
574	0.3145358185
575	0.3144785797
576	0.31442854
577	0.3143723328
578	0.3143293182
579	0.3142741699
580	0.3142277191
581	0.3141711884
582	0.3141306061
583	0.3140835938
584	0.3140420441
585	0.3139907257
586	0.3139333496
587	0.3138890167
588	0.3138442383
589	0.3138028442
590	0.3137514038
591	0.3137154022
592	0.3136707123
593	0.3136181854
594	0.3135836304
595	0.3135192474
596	0.3134766113
597	0.3134373199
598	0.3133859406
599	0.3133254517
600	0.3132796509
601	0.3132204865
602	0.313186087
603	0.3131222015
604	0.3130748291
605	0.3130218292
606	0.3129829681
607	0.3129446838
608	0.3128824677
609	0.3128358551
610	0.3127897888
611	0.3127398102
612	0.312702771
613	0.3126509216
614	0.3125816498
615	0.3125256653
616	0.3124914215
617	0.3124371552
618	0.3123837799
619	0.3123338684
620	0.3122878387
621	0.3122396301
622	0.3121776733
623	0.312128952
624	0.3120499695
625	0.3120084595
626	0.3119698029
627	0.3119153961
628	0.311866452
629	0.3118403748
630	0.3117884583
631	0.3117262726
632	0.3116899658
633	0.3116498047
634	0.311599939
635	0.3115560028
636	0.311515033
637	0.3114692413
638	0.3114211914
639	0.3113656799
640	0.3113288086
641	0.3112954773
642	0.3112507507
643	0.3112053131
644	0.3111664246
645	0.3111090698
646	0.3110498627
647	0.3109764069
648	0.3109276001
649	0.3108876282
650	0.3108270172
651	0.3107815796
652	0.3107190125
653	0.3106877045
654	0.3106373199
655	0.3105930298
656	0.3105461182
657	0.3105029419
658	0.3104544098
659	0.3104276581
660	0.3103807129
661	0.3103309448
662	0.3102831573
663	0.3102243896
664	0.3101802063
665	0.3101372406
666	0.3100868835
667	0.3100298309
668	0.3099912231
669	0.3099565643
670	0.3098930878
671	0.3098194305
672	0.3097762482
673	0.3097356201
674	0.309698761
675	0.3096649353
676	0.309607135
677	0.3095669373
678	0.3095202728
679	0.3094689545
680	0.3094235504
681	0.3093602783
682	0.3093004608
683	0.309247168
684	0.309200296
685	0.30915961
686	0.3091107849
687	0.3090638
688	0.309013443
689	0.3089772278
690	0.3089337463
691	0.3088867676
692	0.3088433929
693	0.3087901855
694	0.3087362213
695	0.3087029419
696	0.3086436584
697	0.3085891327
698	0.30854711
699	0.3085186401
700	0.308450415
701	0.3084011566
702	0.3083519623
703	0.3083089569
704	0.3082751526
705	0.3082119232
706	0.3081638336
707	0.3081101074
708	0.3080323364
709	0.3079789246
710	0.3079384308
711	0.3078995605
712	0.307859967
713	0.3078133331
714	0.3077572174
715	0.3077087646
716	0.3076564453
717	0.3076285614
718	0.3075840149
719	0.3075264465
720	0.307474118
721	0.3074122101
722	0.3073762604
723	0.3073293427
724	0.3072655853
725	0.30722388
726	0.3071519135
727	0.3071072144
728	0.307056366
729	0.3070085266
730	0.3069663818
731	0.3068921967
732	0.3068622894
733	0.3068343658
734	0.3067790192
735	0.3067402161
736	0.3066981262
737	0.3066596802
738	0.3066109741
739	0.3065712158
740	0.306529184
741	0.3064751556
742	0.3064292053
743	0.3063725098
744	0.3063144226
745	0.3062617554
746	0.306218158
747	0.3061656464
748	0.3061028442
749	0.3060570892
750	0.30598927
751	0.305941806
752	0.3059091858
753	0.3058615997
754	0.3058154816
755	0.3057644135
756	0.3057203583
757	0.3056858307
758	0.305642395
759	0.3055950134
760	0.3055425934
761	0.3054783752
762	0.3054376495
763	0.305398822
764	0.3053422791
765	0.3052843231
766	0.3052317902
767	0.3051834839
768	0.3051466034
769	0.3050893097
770	0.3050498749
771	0.3050048523
772	0.3049542969
773	0.3049160614
774	0.3048843414
775	0.3048298615
776	0.3047846497
777	0.3047428162
778	0.3047009705
779	0.304664505
780	0.3046174896
781	0.3045783752
782	0.3045335999
783	0.3044767212
784	0.3044360291
785	0.3044068207
786	0.3043675781
787	0.3043153809
788	0.3042820831
789	0.304202002
790	0.3041641479
791	0.3041223602
792	0.3040762177
793	0.3040191315
794	0.3039783875
795	0.3039351044
796	0.3038839233
797	0.3038418915
798	0.3037931183
799	0.3037447723
800	0.3036892395
801	0.3036518219
802	0.3036120422
803	0.3035757202
804	0.3035132904
805	0.3034482849
806	0.3033912598
807	0.3033291321
808	0.3032794861
809	0.3032363586
810	0.3031844177
811	0.303131604
812	0.3030692657
813	0.3030318237
814	0.3029657898
815	0.3029237152
816	0.3028749969
817	0.3028331604
818	0.3027993225
819	0.3027535583
820	0.3026846619
821	0.3026395538
822	0.3025991974
823	0.3025412445
824	0.3024655609
825	0.3024244568
826	0.3023913635
827	0.3023328156
828	0.3022837341
829	0.3022397858
830	0.3022045532
831	0.3021603485
832	0.3021138123
833	0.3020801514
834	0.3020350159
835	0.3019972351
836	0.3019445618
837	0.3018858307
838	0.3018352875
839	0.3017903442
840	0.3017499939
841	0.3017159943
842	0.3016613953
843	0.3016119019
844	0.3015668304
845	0.3015264038
846	0.3014782379
847	0.3014407013
848	0.3013675995
849	0.3013232483
850	0.3012786438
851	0.3012016876
852	0.3011575195
853	0.3011131897
854	0.3010746246
855	0.3010330017
856	0.3009803741
857	0.3009446198
858	0.3009067261
859	0.3008565948
860	0.3008101837
861	0.3007641388
862	0.3007169373
863	0.3006740417
864	0.3006312683
865	0.300592392
866	0.3005453522
867	0.3004964813
868	0.3004578064
869	0.3003890137
870	0.3003493378
871	0.3003007996
872	0.3002560364
873	0.3001919495
874	0.3001537628
875	0.3001114807
876	0.3000671661
877	0.3000375458
878	0.2999931549
879	0.2999453247
880	0.2998965149
881	0.2998509033
882	0.2998012238
883	0.2997614594
884	0.2997187225
885	0.2996696533
886	0.2996091492
887	0.2995444031
888	0.2995016327
889	0.299457019
890	0.299409021
891	0.2993703491
892	0.2993253815
893	0.2992832489
894	0.2992558258
895	0.2992280334
896	0.2991779785
897	0.2991227905
898	0.2990910828
899	0.299042218
900	0.2990116272
901	0.2989747437
902	0.298946167
903	0.2989016357
904	0.2988613861
905	0.2988184814
906	0.2987826538
907	0.2987536407
908	0.298715274
909	0.2986691895
910	0.2986057251
911	0.2985327972
912	0.2984935699
913	0.2984299072
914	0.2983922119
915	0.2983522858
916	0.2983093536
917	0.2982692841
918	0.2982137817
919	0.298147406
920	0.2981136566
921	0.2980873688
922	0.2980534851
923	0.2980123627
924	0.297962204
925	0.2979203186
926	0.29787901
927	0.2978505829
928	0.2977890778
929	0.2977504761
930	0.2977069305
931	0.2976588287
932	0.2976129852
933	0.2975579865
934	0.2975126862
935	0.2974843567
936	0.2974429718
937	0.2974046692
938	0.2973426819
939	0.2973036987
940	0.2972588135
941	0.2972231049
942	0.2971844147
943	0.2971380768
944	0.2971013092
945	0.2970638855
946	0.2970116669
947	0.2969558319
948	0.2969190521
949	0.2968922516
950	0.2968563141
951	0.2968125092
952	0.2967616974
953	0.2967166656
954	0.296668103
955	0.2966297302
956	0.2965840637
957	0.2965164459
958	0.2964754181
959	0.2964380737
960	0.2964002106
961	0.2963242249
962	0.2962934235
963	0.2962035126
964	0.2961590118
965	0.2961222656
966	0.2960851929
967	0.2960365601
968	0.295973584
969	0.2959312683
970	0.2958810822
971	0.2958407623
972	0.2957967072
973	0.2957611145
974	0.2957219025
975	0.2956821472
976	0.2956465942
977	0.2956181885
978	0.2955782349
979	0.2955368652
980	0.2954970917
981	0.2954515625
982	0.2954084473
983	0.2953596924
984	0.2953219513
985	0.2952788818
986	0.2952300659
987	0.2951845581
988	0.2951270966
989	0.2950897308
990	0.2950610992
991	0.2950180603
992	0.2949811646
993	0.2949349396
994	0.2948852966
995	0.2948363068
996	0.2947974243
997	0.2947592834
998	0.2946894104
999	0.2946562134
